id,title,link,published,published_normalized,summary,summary_cleaned,source_feed_title,source_feed_url
https://www.foxnews.com/sports/california-files-lawsuit-against-doj-over-transgender-athlete-demand,California files lawsuit against DOJ over transgender athlete demand,https://www.foxnews.com/sports/california-files-lawsuit-against-doj-over-transgender-athlete-demand,"Mon, 09 Jun 2025 20:18:17 -0400",2025-06-10T00:18:17+00:00,California filed a lawsuit against the Justice Department over its demand that public school districts certify they will keep trans athletes out of girls&apos; and women&apos;s sports.,California filed a lawsuit against the Justice Department over its demand that public school districts certify they will keep trans athletes out of girls&apos; and women&apos;s sports.,Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/us/police-swiftly-remove-anti-ice-protesters-who-invaded-trump-tower-nationwide-demonstrations-intensify,Police swiftly remove anti-ICE protesters who invaded Trump Tower as nationwide demonstrations intensify,https://www.foxnews.com/us/police-swiftly-remove-anti-ice-protesters-who-invaded-trump-tower-nationwide-demonstrations-intensify,"Mon, 09 Jun 2025 20:05:12 -0400",2025-06-10T00:05:12+00:00,NYPD arrests 24 protesters occupying Trump Tower lobby during anti-ICE demonstration as similar protests emerge across the country in response to ICE operations in Los Angele,NYPD arrests 24 protesters occupying Trump Tower lobby during anti-ICE demonstration as similar protests emerge across the country in response to ICE operations in Los Angele,Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/media/democratic-lawmaker-looks-forward-elon-musk-turning-his-fire-against-maga-republicans-2026-midterms,Democratic lawmaker looks forward to Elon Musk 'turning his fire against MAGA Republicans' in 2026 midterms,https://www.foxnews.com/media/democratic-lawmaker-looks-forward-elon-musk-turning-his-fire-against-maga-republicans-2026-midterms,"Mon, 09 Jun 2025 20:01:11 -0400",2025-06-10T00:01:11+00:00,"Rep. Ro Khanna, D-Calif., claimed that he has spoken with “senior confidants&quot; of Tesla CEO Elon Musk about 2026 after his feud with President Donald Trump.","Rep. Ro Khanna, D-Calif., claimed that he has spoken with “senior confidants&quot; of Tesla CEO Elon Musk about 2026 after his feud with President Donald Trump.",Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/sports/north-carolina-great-rashad-mccants-dishes-nba-finals-michael-jordan-bill-belichick-more,"North Carolina great Rashad McCants dishes on the NBA Finals, Michael Jordan, Bill Belichick and more",https://www.foxnews.com/sports/north-carolina-great-rashad-mccants-dishes-nba-finals-michael-jordan-bill-belichick-more,"Mon, 09 Jun 2025 19:42:32 -0400",2025-06-09T23:42:32+00:00,"UNC great Rashad McCants talked all about his thoughts on the NBA Finals, Bill Belichick heading to his alma mater, and Michael Jordan in a lengthy interview with OutKick.","UNC great Rashad McCants talked all about his thoughts on the NBA Finals, Bill Belichick heading to his alma mater, and Michael Jordan in a lengthy interview with OutKick.",Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/politics/musk-signals-potential-softening-feud-with-simple-one-emoji-response-clip-trump-wishing-him-well,Musk signals potential softening of feud with simple one emoji response to clip of Trump wishing him well,https://www.foxnews.com/politics/musk-signals-potential-softening-feud-with-simple-one-emoji-response-clip-trump-wishing-him-well,"Mon, 09 Jun 2025 19:40:17 -0400",2025-06-09T23:40:17+00:00,Signs continue to point to a softening in the relationship between President Trump and Elon Musk after Musk posted a heart emoji in response to Trump wishing him well.,Signs continue to point to a softening in the relationship between President Trump and Elon Musk after Musk posted a heart emoji in response to Trump wishing him well.,Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/politics/power-players-baseball-players-history-congressional-baseball-game,Power players or baseball players? The history behind the Congressional Baseball Game,https://www.foxnews.com/politics/power-players-baseball-players-history-congressional-baseball-game,"Mon, 09 Jun 2025 19:33:25 -0400",2025-06-09T23:33:25+00:00,"The Congressional Baseball Game is an odd, but longstanding, tradition on the hill. Here&apos;s a look at what to expect this year, brought to you by yours truly.","The Congressional Baseball Game is an odd, but longstanding, tradition on the hill. Here&apos;s a look at what to expect this year, brought to you by yours truly.",Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/politics/rfk-jr-scraps-vaccine-committee-members-effort-restore-public-trust,RFK Jr scraps vaccine committee members in effort to restore 'public trust',https://www.foxnews.com/politics/rfk-jr-scraps-vaccine-committee-members-effort-restore-public-trust,"Mon, 09 Jun 2025 19:16:16 -0400",2025-06-09T23:16:16+00:00,HHS removes Biden-appointed vaccine advisory committee members as department chief RFK Jr. pledges to prioritize &quot;the restoration of public trust.&quot;,HHS removes Biden-appointed vaccine advisory committee members as department chief RFK Jr. pledges to prioritize &quot;the restoration of public trust.&quot;,Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/politics/113-house-dems-vote-against-gop-resolution-condemn-boulder-attack-pro-israel-activists,113 House Dems vote against GOP resolution to condemn Boulder attack on pro-Israel activists,https://www.foxnews.com/politics/113-house-dems-vote-against-gop-resolution-condemn-boulder-attack-pro-israel-activists,"Mon, 09 Jun 2025 19:10:31 -0400",2025-06-09T23:10:31+00:00,"The House of Representatives voted on a pair of bills aimed at condemning anti-Semitism in the wake of the attack on pro-Israel demonstrators in Boulder, Colorado.","The House of Representatives voted on a pair of bills aimed at condemning anti-Semitism in the wake of the attack on pro-Israel demonstrators in Boulder, Colorado.",Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/media/charlamagne-claims-he-hadnt-heard-about-any-ruckus-violence-la-riot-until-national-guard-arrived,Charlamagne claims he hadn't heard about 'any ruckus or violence' in LA riot until National Guard arrived,https://www.foxnews.com/media/charlamagne-claims-he-hadnt-heard-about-any-ruckus-violence-la-riot-until-national-guard-arrived,"Mon, 09 Jun 2025 19:00:34 -0400",2025-06-09T23:00:34+00:00,Charlamagne tha God criticized the Trump administration&apos;s decision to deploy National Guard toops to Los Angeles County amid escalating anti-ICE protests in California.,Charlamagne tha God criticized the Trump administration&apos;s decision to deploy National Guard toops to Los Angeles County amid escalating anti-ICE protests in California.,Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/sports/call-her-daddy-podcast-host-alex-cooper-accuses-former-college-soccer-coach-sexual-harassment,'Call Her Daddy' podcast host Alex Cooper accuses former college soccer coach of sexual harassment,https://www.foxnews.com/sports/call-her-daddy-podcast-host-alex-cooper-accuses-former-college-soccer-coach-sexual-harassment,"Mon, 09 Jun 2025 18:54:05 -0400",2025-06-09T22:54:05+00:00,&quot;Call Her Daddy&quot; podcast host Alex Cooper accused former Boston University women&apos;s soccer coach Nancy Feldman of sexual harassment in her docuemntary.,&quot;Call Her Daddy&quot; podcast host Alex Cooper accused former Boston University women&apos;s soccer coach Nancy Feldman of sexual harassment in her docuemntary.,Latest & Breaking News on Fox News,N/A
https://www.foxnews.com/sports/golden-tate-finally-reveals-what-really-happened-explosive-nfl-field-showdown-jalen-ramsey-2020,Ex-NFL receiver Golden Tate details how Jalen Ramsey's treatment of his pregnant sister led to fight,https://www.foxnews.com/sports/golden-tate-finally-reveals-what-really-happened-explosive-nfl-field-showdown-jalen-ramsey-2020,"Mon, 09 Jun 2025 18:45:41 -0400",2025-06-09T22:45:41+00:00,"Golden Tate discusses his feud with Dolphins cornerback Jalen Ramsey on &quot;Bussin&apos; with the Boys&quot; podcast, explaining their infamous 2020 NFL confrontation.","Golden Tate discusses his feud with Dolphins cornerback Jalen Ramsey on &quot;Bussin&apos; with the Boys&quot; podcast, explaining their infamous 2020 NFL confrontation.",Latest & Breaking News on Fox News,N/A
